owner_type,inventory,container_id,slot_index,resource_id,amount
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,101
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,1
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,1
UNKNOWN,GENERAL,SIG:887e798a50,1,^SPACEGUNK5,487
UNKNOWN,CARGO,SIG:887e798a50,3,^FUEL1,640
UNKNOWN,GENERAL,SIG:887e798a50,2,^FOOD_P_STELLAR,5
UNKNOWN,GENERAL,SIG:887e798a50,1,^F_ALL_RARE_S1,1
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,1
UNKNOWN,GENERAL,SIG:887e798a50,1,^EGG1,1
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,101
UNKNOWN,GENERAL,SIG:887e798a50,0,^EGG1,1
UNKNOWN,GENERAL,SIG:24cafe5a6d,1,^B_STR_G_N,1
UNKNOWN,GENERAL,SIG:24cafe5a6d,0,^B_STR_D_NE,1
SUIT,GENERAL,SIG:a99c27dce1,26,^ROCKETSUB,94
SUIT,GENERAL,SIG:a99c27dce1,25,^U_HYPERX,1
SUIT,CARGO,SIG:a99c27dce1,24,^PRODFUEL2,12
SUIT,CARGO,SIG:a99c27dce1,22,^TRA_ENERGY5,1
SUIT,CARGO,SIG:a99c27dce1,21,^BUILD_REFINER1,1
SUIT,CARGO,SIG:a99c27dce1,20,^FUEL1,21
SUIT,CARGO,SIG:a99c27dce1,19,^STELLAR2,20
SUIT,CARGO,SIG:a99c27dce1,18,^CASING,11
SUIT,CARGO,SIG:a99c27dce1,17,^CAVE1,77
SUIT,GENERAL,SIG:a99c27dce1,16,^EYEBALL,1
SUIT,GENERAL,SIG:a99c27dce1,15,^HYDRALIC,1
SUIT,CARGO,SIG:a99c27dce1,14,^BP_SALVAGE,14
SUIT,CARGO,SIG:a99c27dce1,13,^LAUNCHFUEL,1
SUIT,GENERAL,SIG:a99c27dce1,12,^MICROCHIP,1
SUIT,CARGO,SIG:a99c27dce1,11,^DUSTY1,175
SUIT,CARGO,SIG:a99c27dce1,10,^BP_SALVAGE,30
SUIT,CARGO,SIG:a99c27dce1,9,^LAUNCHSUB,6
SUIT,CARGO,SIG:a99c27dce1,8,^POWERCELL,13
SUIT,GENERAL,SIG:a99c27dce1,7,^ROBOT1,194
SUIT,GENERAL,SIG:a99c27dce1,6,^OXYGEN,273
SUIT,GENERAL,SIG:a99c27dce1,5,^LAND1,124
SUIT,CARGO,SIG:a99c27dce1,4,^CATALYST2,42
SUIT,GENERAL,SIG:a99c27dce1,3,^FUEL2,40
SUIT,CARGO,SIG:a99c27dce1,2,^BP_SALVAGE,30
SUIT,CARGO,SIG:a99c27dce1,1,^CATALYST1,252
SUIT,CARGO,SIG:a99c27dce1,0,^AMMO,847
UNKNOWN,GENERAL,SIG:7eded87294,1,^YELLOW2,250
UNKNOWN,GENERAL,SIG:7eded87294,0,^TECHFRAG,20
UNKNOWN,GENERAL,SIG:7eded87294,0,^SAND1,10
